Frequency_Hz,Amplitude
340.0,1.1099756087258217e-17
345.0,1.1734156820506284e-17
350.0,2.057707758682415e-17
355.0,3.0420784212920864e-17
360.0,6.271618814173316e-17
365.0,1.9753737969830233e-17
370.0,3.758970563195065e-17
375.0,5.026401248731615e-17
380.0,1.0046041679683067e-16
385.0,4.132941724735806e-17
390.0,2.183528907658295e-17
395.0,2.925028404499808e-17
400.0,3.1290511387867618e-18
405.0,5.271351003815684e-17
410.0,2.196135356904893e-17
415.0,3.661407491951717e-17
420.0,5.507508863610002e-17
425.0,3.114982001307593e-17
430.0,1.9347053357854394e-17
435.0,1.041911083209282e-17
440.0,4.7742901748155753e-17
445.0,4.100674075913118e-17
450.0,1.1574853616836273e-16
455.0,5.172546485703128e-17
460.0,3.1455179555161215e-17
465.0,2.5997740148207175e-17
470.0,1.0999574387556166e-16
475.0,3.731712900727367e-17
480.0,8.72317926540695e-17
485.0,2.866080556085441e-17
490.0,1.8074744396024748e-17
495.0,4.072249442304708e-17
500.0,1.0312671629013292e-17
505.0,6.491433482429446e-17
510.0,1.5481420144681593e-17
515.0,2.80301205120579e-17
520.0,5.16061497178191e-17
525.0,3.338320430835177e-17
530.0,3.798019724012642e-17
535.0,1.7251909073429783e-17
540.0,4.538698674443544e-17
545.0,4.9482609950749864e-17
550.0,3.86995596592416e-17
555.0,4.702172544969329e-17
560.0,2.9259440824142687e-17
565.0,2.810947549239014e-17
570.0,5.815976655648018e-17
575.0,3.985531392062456e-17
580.0,2.8070528605196794e-17
585.0,1.9574559892182135e-17
590.0,4.468398995805034e-17
595.0,1.544306234636408e-17
600.0,3.7720946725618885e-17
605.0,6.980524786433288e-17
610.0,4.0194162638038766e-17
615.0,2.629587914413603e-17
620.0,5.816088544211191e-17
625.0,1.719305425744383e-17
630.0,2.6972236967568028e-17
635.0,1.5955414759107574e-17
640.0,1.9130617213485123e-17
645.0,1.4131698244915988e-17
650.0,3.71084591229613e-17
655.0,2.378479151489198e-17
660.0,6.253217991512534e-17
665.0,2.862614688681001e-17
670.0,2.255128764528659e-17
675.0,2.1856441463549897e-17
680.0,2.654751253621202e-17
685.0,6.485751483131685e-17
690.0,3.295822529433158e-17
695.0,3.84278889503201e-17
700.0,6.186421835344606e-17
705.0,6.110872946746288e-17
710.0,1.9020570143783518e-16
715.0,4.6603582169016e-16
720.0,5.409853031387737e-16
725.0,3.6910821769747557e-16
730.0,7.589704078715234e-17
735.0,1.1029644193876969e-16
740.0,1.1857917811651072e-16
745.0,3.649739009853291e-17
750.0,9.80111422449935e-17
755.0,9.046156208748282e-17
760.0,9.063867370592328e-17
765.0,4.466979735447679e-17
770.0,4.126627607056977e-17
775.0,7.383430361044303e-17
780.0,2.0533429339767826e-17
785.0,2.9667557691688386e-17
790.0,6.79511299737305e-17
795.0,3.464301141575005e-17
800.0,5.3556925109031005e-17
805.0,2.947183491278708e-17
810.0,2.164435441571759e-16
815.0,4.806013268148867e-16
820.0,5.193229190298719e-16
825.0,3.4746189676100874e-16
830.0,6.854333676353721e-17
835.0,9.192988753256387e-17
840.0,1.0705523277802138e-16
845.0,2.1035065432763004e-17
850.0,1.0467390549005121e-16
855.0,4.447567194677248e-17
860.0,2.9721803927011384e-17
865.0,5.534230826422312e-17
870.0,9.968756340580913e-17
875.0,6.095771940926951e-18
880.0,4.6962633687611983e-17
885.0,3.116048567729721e-17
890.0,3.425032769825674e-17
895.0,2.652762631141639e-17
900.0,1.5746729303698496e-17
905.0,3.12088151181836e-17
910.0,4.3107625206698174e-17
915.0,7.07572589935301e-17
920.0,3.6434563185605847e-17
925.0,1.4578492605509458e-16
930.0,3.332807436282242e-16
935.0,3.920263315044979e-16
940.0,2.7739914185133594e-16
945.0,7.997577271202824e-17
950.0,1.402801730945671e-16
955.0,9.596684185877881e-17
960.0,4.9794646111404787e-17
965.0,1.203029470118987e-16
970.0,1.368657109476635e-16
975.0,5.243785780425675e-17
980.0,6.129928952907172e-17
985.0,5.990953899692084e-17
990.0,5.2353887686162723e-17
995.0,8.221073516683974e-17
1000.0,4.298073015308969e-17
1005.0,1.7995087802167484e-17
1010.0,7.219253172210353e-17
1015.0,7.714807098040882e-17
1020.0,4.7768746513705053e-17
1025.0,1.6442273491258698e-16
1030.0,3.359717125670179e-16
1035.0,4.221930757585439e-16
1040.0,2.78459970077434e-16
1045.0,9.152835058628695e-17
1050.0,1.2494787747460598e-16
1055.0,8.625683218317305e-17
1060.0,9.091859402175552e-17
1065.0,1.1982193434432484e-16
1070.0,1.2987476397095726e-16
1075.0,3.856246865000802e-17
1080.0,5.2850126773722395e-17
1085.0,7.82304699566529e-17
1090.0,4.777393772320099e-17
1095.0,9.450026933120685e-17
1100.0,4.2868208799152225e-17
1105.0,4.433782336323389e-17
1110.0,3.782548838791163e-17
1115.0,1.273190185013628e-17
1120.0,3.4641660338401894e-17
1125.0,1.6531681217732e-17
1130.0,4.653329001067561e-17
1135.0,3.2072411368250613e-17
1140.0,5.743781736232442e-17
1145.0,1.0831190032240949e-16
1150.0,9.875266732422997e-17
1155.0,7.100697841457577e-17
1160.0,8.863565804632499e-17
1165.0,5.665880588733296e-17
1170.0,2.170062401178293e-17
1175.0,4.196229945871261e-17
1180.0,1.9837270560935026e-17
1185.0,2.4103449278202454e-17
1190.0,9.791142476965353e-18
1195.0,2.372827287738782e-17
1200.0,3.692376416977724e-17
1205.0,3.409606144215792e-17
1210.0,4.8469589948238795e-17
1215.0,6.923596726434854e-17
1220.0,6.558903777651226e-17
1225.0,2.546323029626687e-17
1230.0,3.0071970938583985e-17
1235.0,7.613838196419715e-17
1240.0,9.235230796335858e-17
1245.0,1.8687076556572063e-16
1250.0,1.2838500533052906e-16
1255.0,5.0155872933714045e-17
1260.0,3.4527277417722474e-17
1265.0,4.127240418544364e-17
1270.0,3.89839736092467e-17
1275.0,3.159863295727607e-17
1280.0,1.704483564182623e-17
1285.0,4.383936962699864e-17
1290.0,4.3200124909979076e-17
1295.0,3.586912109271988e-17
1300.0,7.660317699866808e-17
1305.0,3.03077127614328e-17
1310.0,2.3449921163320506e-17
1315.0,6.799948535625267e-17
1320.0,5.190145902053028e-17
1325.0,4.313257662585853e-17
1330.0,5.670718474683918e-17
1335.0,7.63121595402462e-17
1340.0,4.151953340639109e-17
1345.0,6.45030767978554e-17
1350.0,2.2775162033266488e-17
1355.0,5.914845459969593e-17
1360.0,9.114024188836744e-17
1365.0,5.061242586664579e-17
1370.0,4.547342122064277e-17
1375.0,1.2885082159859225e-17
1380.0,4.533708328759532e-17
1385.0,3.814401956434618e-17
1390.0,5.674475404285709e-17
1395.0,4.431762036253811e-17
1400.0,3.3138392494265074e-17
1405.0,4.664292870169712e-17
1410.0,3.235570852193684e-17
1415.0,2.4499280452520537e-17
1420.0,2.9007822592321815e-17
1425.0,1.895711768606131e-17
1430.0,4.906961630112527e-17
1435.0,4.3269401039261813e-17
1440.0,1.5991876896768207e-17
1445.0,4.035890985697139e-17
1450.0,4.474545824174581e-17
1455.0,4.054074982046663e-17
1460.0,8.000179732534495e-17
1465.0,6.882712146867593e-17
1470.0,6.763597721352091e-17
1475.0,7.151305604696205e-17
1480.0,2.7547557115672144e-16
1485.0,2.2152918736818393e-16
1490.0,2.6394817947277405e-16
1495.0,2.988483298826646e-16
1500.0,4.9032420381576926e-17
1505.0,9.254240217806247e-17
1510.0,9.574096269050157e-17
1515.0,1.9429304670133866e-17
1520.0,2.8499908414018204e-17
1525.0,9.824720080641183e-17
1530.0,9.020581950437096e-17
1535.0,4.178104774260148e-17
1540.0,5.756359180928536e-17
1545.0,7.95299824813214e-17
1550.0,4.093677093426018e-17
1555.0,6.419603027823325e-17
1560.0,7.58382243344266e-17
1565.0,6.236442425861542e-17
1570.0,6.444703875090947e-17
1575.0,8.328923587126599e-17
1580.0,2.7233868176267636e-16
1585.0,2.49335751234072e-16
1590.0,2.3265968451443987e-16
1595.0,2.7707376115986145e-16
1600.0,4.406749942174107e-17
1605.0,4.6232337279329165e-17
1610.0,8.078717892452115e-17
1615.0,3.530798001771953e-17
1620.0,4.778082129847479e-17
1625.0,7.535181390433609e-17
1630.0,4.976687988937089e-17
1635.0,5.804341724188794e-17
1640.0,3.60260703228675e-17
1645.0,7.718495660294774e-17
1650.0,6.240585317466771e-17
1655.0,2.1045334949606884e-17
1660.0,4.68897621745084e-18
1665.0,3.137728465903394e-17
1670.0,9.407990304007578e-18
1675.0,5.3842059376490413e-17
1680.0,3.5737147693483765e-17
1685.0,6.526600425859775e-17
1690.0,6.451123928756364e-17
1695.0,9.825360801903078e-17
1700.0,1.1500299239449227e-16
1705.0,3.629735109250924e-17
1710.0,1.3351780116183523e-16
1715.0,3.6539481281538886e-17
1720.0,8.172525746626774e-17
1725.0,5.61212953330618e-17
1730.0,1.0006327306210651e-16
1735.0,1.0887186326803884e-16
1740.0,6.200517846483311e-17
1745.0,6.386559903666697e-17
1750.0,3.3060560949191725e-17
1755.0,2.634276927307886e-17
1760.0,5.319521698599736e-17
1765.0,6.737244515508185e-17
1770.0,3.1581385104087975e-17
1775.0,4.64052959239895e-17
1780.0,6.363578114065274e-17
1785.0,6.237574575343008e-17
1790.0,5.358847031099275e-17
1795.0,1.1502265219964768e-16
1800.0,1.216842692526232e-16
1805.0,2.9290410793147505e-17
1810.0,1.1702900226717508e-16
1815.0,2.3218759929309206e-17
1820.0,8.573578956973554e-17
1825.0,3.078751019084707e-17
1830.0,1.0493892709225701e-16
1835.0,1.1796643768479845e-16
1840.0,3.4705859408357317e-17
1845.0,8.955396385797885e-17
1850.0,1.1133075026952132e-16
1855.0,6.531331735701721e-17
1860.0,5.1965835499938326e-17
1865.0,6.348335278281463e-17
1870.0,4.7018641848612525e-17
1875.0,5.194412170256928e-17
1880.0,6.521007890469714e-17
1885.0,9.336347136752789e-17
1890.0,3.461519599709272e-17
1895.0,3.5408704719883866e-17
1900.0,4.429111110476646e-17
1905.0,9.039923762718318e-17
1910.0,1.19667016065751e-16
1915.0,1.9258368640004417e-16
1920.0,1.3848157929280493e-16
1925.0,1.4839317433607028e-16
1930.0,1.0117058740411316e-16
1935.0,8.281265205126998e-17
1940.0,6.985560943688606e-17
1945.0,5.362669657770089e-17
1950.0,9.289705422767885e-17
1955.0,9.909791638220168e-17
1960.0,6.391436431623015e-17
1965.0,5.365482518962451e-17
1970.0,5.816693518954237e-17
1975.0,7.391921688473119e-17
1980.0,4.285087587969588e-17
1985.0,8.251742241942504e-17
1990.0,2.8331500692008875e-17
1995.0,4.365434140600059e-17
2000.0,1.8932461256357107e-17
2005.0,1.4847979395420593e-16
2010.0,1.3347118891127902e-16
2015.0,1.5462781494066857e-16
2020.0,1.5935814697855446e-16
2025.0,2.020338003864599e-16
2030.0,6.189599024345495e-17
2035.0,9.8431876529792e-17
2040.0,6.942175679093297e-17
2045.0,7.161022729597011e-17
2050.0,2.8726090168188986e-17
2055.0,5.87421892260674e-17
2060.0,1.1648132130891658e-17
2065.0,1.8700760926115128e-17
2070.0,4.734467389558352e-17
2075.0,3.610549198281598e-17
2080.0,3.492173887914738e-17
2085.0,7.733178637511568e-17
2090.0,1.3961680217518382e-17
2095.0,4.5496022529264873e-17
2100.0,2.3161426963464858e-17
2105.0,7.949345393591559e-17
2110.0,1.9060799023901214e-17
2115.0,8.432852406103822e-17
2120.0,1.813308933427358e-17
2125.0,7.322594219467121e-17
2130.0,1.496305844711097e-16
2135.0,1.2555750464816162e-16
2140.0,1.002346018254302e-16
2145.0,1.9129405923692896e-17
2150.0,1.4663743913256356e-17
2155.0,1.0355277240804046e-17
2160.0,1.0515884263756141e-17
2165.0,2.932011615724888e-17
2170.0,3.751098523966519e-17
2175.0,2.6379155838090378e-17
2180.0,3.9569758872616794e-17
2185.0,5.693609907515022e-17
2190.0,4.0704401143102356e-17
2195.0,8.354871456296702e-17
2200.0,1.283504044872526e-16
2205.0,6.048916870786726e-17
2210.0,7.5906350770292e-18
2215.0,5.989594611816465e-17
2220.0,1.1825671672422679e-17
2225.0,4.368540108532828e-17
2230.0,1.3373151259253356e-16
2235.0,1.5632681809858975e-16
2240.0,9.833994983769188e-17
2245.0,6.691149205616531e-17
2250.0,1.5526655570903963e-16
2255.0,1.7506457083946855e-16
2260.0,9.481294980791633e-17
2265.0,5.208485948762753e-17
2270.0,3.458223186843312e-17
2275.0,8.144787539305782e-17
2280.0,3.284416923824913e-17
2285.0,2.88062212693592e-17
2290.0,7.173547483282388e-17
2295.0,1.1166627395783372e-16
2300.0,1.4479012808279225e-16
2305.0,6.183409795928453e-17
2310.0,3.3189989652042396e-17
2315.0,3.118901999351974e-17
2320.0,4.772210432371592e-17
2325.0,1.2081509030910385e-17
2330.0,6.402947159628552e-18
2335.0,3.639136010135645e-18
2340.0,8.063920547360954e-17
2345.0,8.156887629390214e-17
2350.0,1.0049241673509392e-16
2355.0,1.9139859811365802e-16
2360.0,1.4409303226170044e-16
2365.0,6.342543672160807e-17
2370.0,3.159105927323647e-17
2375.0,1.0473666882054248e-16
2380.0,3.620240235965786e-17
2385.0,3.3194348606756045e-17
2390.0,8.870870234089253e-17
2395.0,1.5195023084442977e-17
2400.0,3.1042018585987105e-17
2405.0,5.525462798797738e-17
2410.0,8.281671463491969e-17
2415.0,6.969642231474077e-17
