Frequency_Hz,Amplitude
0.0,0.015912298387532553
5.0,0.0145940339483042
10.0,0.019485603029586494
15.0,0.03454214428570419
20.0,0.011707925286607825
25.0,0.03000602401999585
30.0,0.047295591272096975
35.0,0.009762654303463743
40.0,0.07152763610250223
45.0,0.14926598074548098
50.0,1.175
55.0,0.1350610223395125
60.0,0.05853201459822095
65.0,0.007217614131746537
70.0,0.03154052746689883
75.0,0.018010847264532615
80.0,0.006307306843055258
85.0,0.01664075784976937
90.0,0.008356341389440478
95.0,0.0055396718460058265
100.0,0.010616724464738625
105.0,0.004240723446266665
110.0,0.004876099243099167
115.0,0.00733477785784571
120.0,0.0020684295915547935
125.0,0.0042917436747361235
130.0,0.005261825130256437
135.0,0.0007926484268177214
140.0,0.003770060609766575
145.0,0.0038331798340898024
150.0,7.393926769251433e-17
155.0,0.0032997341246573143
160.0,0.002792170001017411
165.0,0.0005044859173559986
170.0,0.0028728553928282067
175.0,0.002005229319856301
180.0,0.0008244127607496283
185.0,0.002483793736753283
190.0,0.001395860725903448
195.0,0.0010198646872308418
200.0,0.0021284700932325974
205.0,0.0009169473458148373
210.0,0.0011281511889343935
215.0,0.00180387419949412
220.0,0.000537726886798129
225.0,0.001173772734558063
230.0,0.0015077348699711404
235.0,0.00023710800921152584
240.0,0.0011735979633523345
245.0,0.0012382896345627813
250.0,1.2138439396985118e-16
255.0,0.0011397242047180808
260.0,0.0009941208263357045
265.0,0.00018481517248749104
270.0,0.0010811383904817235
275.0,0.0007740373629443488
280.0,0.0003259720167080785
285.0,0.0010047214389648175
290.0,0.0005769887824503904
295.0,0.00043033097930398635
300.0,0.0009158764838117378
305.0,0.0004020026159619536
310.0,0.0005035016791091228
315.0,0.0008189331784351104
320.0,0.0002481390400027331
325.0,0.0005501890710998061
330.0,0.0007174143617636891
335.0,0.00011445859864267003
340.0,0.0005744266357883679
345.0,0.0006142158424390225
350.0,1.1689061065601266e-17
355.0,0.0005797355725830338
360.0,0.0005117301407809329
365.0,9.623419664151985e-05
370.0,0.0005692344524824637
375.0,0.0004119334642074744
380.0,0.00017528563654880283
385.0,0.0005457151108503206
390.0,0.00031644826588900666
395.0,0.00023824322329014767
400.0,0.0005116952268376526
405.0,0.00022658946996217036
410.0,0.00028624216223439825
415.0,0.0004694546680715773
420.0,0.00014339975003235526
425.0,0.00032045979927936734
430.0,0.000421060500144205
435.0,6.767750234514359e-05
440.0,0.00034210892643754326
445.0,0.000368384117739341
450.0,1.5075701721464488e-16
455.0,0.00035242912763406453
460.0,0.00031311297768575326
465.0,5.925656585172884e-05
470.0,0.00035267666394747313
475.0,0.000256758738712118
480.0,0.000109898989612219
485.0,0.00034411333965792115
490.0,0.00020066313515563314
495.0,0.00015190010869917955
500.0,0.00032799474340116237
505.0,0.0001460025668859511
510.0,0.00018538249294161512
515.0,0.00030555821866226016
520.0,9.379213291427664e-05
525.0,0.00021060243849812082
