Frequency_Hz,Amplitude
560.0,4.8513877759193183e-17
565.0,4.169795179747993e-17
570.0,3.155655818184446e-17
575.0,2.193459829569849e-17
580.0,3.892814657369828e-17
585.0,5.068725456232039e-17
590.0,2.2751444820235784e-17
595.0,4.4098530929660014e-17
600.0,6.50614186548888e-17
605.0,1.1988198055131292e-16
610.0,5.66911295428415e-17
615.0,2.0576054005919222e-16
620.0,2.9312716589617316e-16
625.0,1.585199537639391e-16
630.0,3.750334986605997e-17
635.0,3.0889465334831295e-17
640.0,2.6256952444508388e-17
645.0,1.6545297966241482e-17
650.0,9.02523623853414e-17
655.0,4.312743235340268e-17
660.0,6.965727816584504e-17
665.0,1.3926808848994855e-17
670.0,6.707802932814585e-17
675.0,3.6437631465909925e-17
680.0,1.736815796734423e-17
685.0,8.160048666901911e-17
690.0,4.0883069288068034e-17
695.0,1.660183700439772e-16
700.0,1.456959254021903e-16
705.0,1.649674075920447e-16
710.0,3.705257809646682e-16
715.0,6.023867147638024e-16
720.0,6.674869225512948e-16
725.0,3.535634804758015e-16
730.0,1.6531178554477052e-16
735.0,2.1730885185959245e-16
740.0,1.7363593763571979e-16
745.0,3.284800500942717e-17
750.0,2.0372613440110894e-16
755.0,9.930743741938498e-17
760.0,8.975520912959156e-17
765.0,6.635570079162101e-17
770.0,4.9697624142771806e-17
775.0,6.498945155573076e-17
780.0,6.211642692724531e-17
785.0,2.190541643181034e-17
790.0,8.419750124544211e-17
795.0,4.851488937581637e-17
800.0,5.134129864586077e-17
805.0,2.2772153202426275e-17
810.0,2.169776800028708e-16
815.0,4.938076203943986e-16
820.0,5.657119273487159e-16
825.0,4.024191679154125e-16
830.0,6.096624855229585e-17
835.0,1.32498180440905e-16
840.0,1.2343530482443863e-16
845.0,6.308293445048497e-17
850.0,1.116053403351859e-16
855.0,4.394899298256768e-17
860.0,4.119883636139489e-17
865.0,7.65396566448595e-17
870.0,1.2005444334620871e-16
875.0,2.685504796545926e-17
880.0,9.447028427968593e-17
885.0,1.1902653988834718e-16
890.0,6.603163698872878e-17
895.0,3.1857496892250517e-17
900.0,3.6294333426327014e-17
905.0,4.428836245629223e-17
910.0,1.791353088729489e-16
915.0,3.0314198945132093e-16
920.0,2.8832361826334437e-16
925.0,6.205054522473114e-17
930.0,3.2325541310869325e-16
935.0,4.3396999716772255e-16
940.0,3.3331617362676973e-16
945.0,6.493668293322366e-17
950.0,1.5192392328690374e-16
955.0,1.3601788129019781e-16
960.0,5.591197768940228e-17
965.0,1.325757799889964e-16
970.0,1.4382582850272137e-16
975.0,1.0657946995230169e-16
980.0,1.2241827169875515e-16
985.0,6.370378742519731e-17
990.0,1.0730285957377381e-16
995.0,1.1178745343112024e-16
1000.0,5.2691374496151444e-17
1005.0,3.558058520590961e-17
1010.0,1.7496620043840854e-16
1015.0,2.9081796649112685e-16
1020.0,2.681702290294077e-16
1025.0,2.2806642327537542e-17
1030.0,3.286018620575727e-16
1035.0,4.646029565761795e-16
1040.0,3.42737005754848e-16
1045.0,1.051989960573846e-16
1050.0,1.7610521940414692e-16
1055.0,1.6401619586563326e-16
1060.0,8.173421873943944e-17
1065.0,1.9448793222569606e-16
1070.0,1.86484199028153e-16
1075.0,4.287504555725753e-17
1080.0,8.244529307959256e-17
1085.0,9.201674809676866e-17
1090.0,6.929738553669835e-17
1095.0,1.0536719295254052e-16
1100.0,9.586890202728427e-17
1105.0,7.418553098310252e-17
1110.0,4.696545538782044e-17
1115.0,1.6443612867132305e-17
1120.0,1.7511418837670362e-17
1125.0,3.110924244053533e-17
1130.0,8.99615420003782e-17
1135.0,9.990877343309827e-17
1140.0,8.670921545890965e-17
1145.0,1.4561102337861038e-16
1150.0,7.923172583451037e-17
1155.0,8.782286176102239e-17
1160.0,1.0155500466172826e-16
1165.0,8.360651022403767e-17
1170.0,4.767492215050815e-17
1175.0,6.318714397513857e-17
1180.0,8.105093178550796e-18
1185.0,1.0396573798439719e-16
1190.0,3.0115843716391006e-17
1195.0,1.357077525170998e-16
1200.0,1.273971353159844e-16
1205.0,1.4750769124651587e-16
1210.0,1.394023288735637e-16
1215.0,9.974801730128912e-17
1220.0,9.635394138164549e-17
1225.0,3.268497618199407e-17
1230.0,9.282386133063146e-17
1235.0,8.307944889334898e-17
1240.0,5.756619600034913e-17
1245.0,1.442738390315783e-16
1250.0,1.3659336549862335e-16
1255.0,5.3816957543830336e-17
1260.0,8.78655987092154e-18
1265.0,4.9131629371986464e-17
1270.0,3.461453236690309e-17
1275.0,6.564522037228649e-17
1280.0,1.5932305274618222e-16
1285.0,1.215737544744775e-16
1290.0,1.6061796152176279e-16
1295.0,1.8186761901865405e-16
1300.0,5.935095105499554e-17
1305.0,3.03233910207733e-17
1310.0,7.749537080873734e-17
1315.0,9.542070487099405e-17
1320.0,7.268480943905141e-17
1325.0,9.57766017386485e-18
1330.0,8.21022787273261e-17
1335.0,7.975487312889554e-17
1340.0,4.5441210318976896e-17
1345.0,6.22094300157433e-17
1350.0,7.09268537444328e-17
1355.0,1.131540384098329e-16
1360.0,8.018751882510929e-17
1365.0,7.888067796393431e-17
1370.0,9.152158383099964e-17
1375.0,2.127786117540257e-17
1380.0,1.4798987871838791e-16
1385.0,1.5424497512535782e-16
1390.0,8.823451966642032e-17
1395.0,1.5249837506882704e-16
1400.0,6.918794152894765e-17
1405.0,8.112917055143598e-17
1410.0,7.33802065859422e-17
1415.0,3.894174145676756e-17
1420.0,2.7236473781220267e-17
1425.0,4.590799800936274e-17
1430.0,9.779694420627075e-17
1435.0,8.577305153704749e-17
1440.0,1.1544232839675293e-17
1445.0,3.504708218930027e-17
1450.0,2.204762486773839e-17
1455.0,2.7359192722989336e-17
1460.0,5.416478140716044e-17
1465.0,7.981310001674665e-17
1470.0,8.461873875867886e-17
1475.0,6.156298040877934e-17
1480.0,3.313711938194296e-16
1485.0,2.703186938236835e-16
1490.0,2.512943261803943e-16
1495.0,2.733146808767378e-16
1500.0,1.119571190628522e-16
1505.0,1.1213198379857428e-16
1510.0,9.979742373328019e-17
1515.0,5.711581464726964e-17
1520.0,5.871607556366043e-17
1525.0,1.4326889034726622e-16
1530.0,7.32230911003412e-17
1535.0,3.4270248224872556e-17
1540.0,6.539722230338364e-17
1545.0,6.501548866924155e-17
1550.0,3.0608260098203247e-17
1555.0,6.870444602702443e-17
1560.0,5.814781461244111e-17
1565.0,4.2582148651486275e-17
1570.0,5.792262273534273e-17
1575.0,8.334573352198651e-17
1580.0,2.7444032724681486e-16
1585.0,2.6707198864472884e-16
1590.0,2.3358993479028407e-16
1595.0,3.0636205632267513e-16
1600.0,4.6256893911046333e-17
1605.0,2.3921451644548803e-17
1610.0,9.824721152958159e-17
1615.0,4.508763850496592e-17
1620.0,6.774418400434483e-17
1625.0,6.543550409103437e-17
1630.0,7.420344539720054e-17
1635.0,5.3144667921910943e-17
1640.0,8.116241810286509e-17
1645.0,1.3449258777484512e-16
1650.0,3.0608260098203247e-17
1655.0,2.6014516897790114e-17
1660.0,4.163638979870506e-17
1665.0,3.741039299987529e-17
1670.0,1.11528417718852e-17
1675.0,1.1588009121316077e-16
1680.0,1.212132850928704e-16
1685.0,1.7746121977490086e-16
1690.0,2.56834047314959e-17
1695.0,7.248914892148171e-17
1700.0,9.865648964346606e-17
1705.0,8.548006336915673e-17
1710.0,1.674664261315281e-16
1715.0,1.8602333595516918e-17
1720.0,1.3749192138193286e-16
1725.0,8.91172612393502e-17
1730.0,9.944681634770619e-17
1735.0,1.4097104154664918e-16
1740.0,8.295779369596586e-17
1745.0,9.25155802287391e-17
1750.0,1.2354275551247725e-16
1755.0,2.393390560340802e-17
1760.0,8.89100508583185e-17
1765.0,8.63804432728798e-17
