model,accuracy,precision_macro,recall_macro,f1_macro
SVM,0.9972222222222222,0.9972677595628415,0.9972222222222222,0.9972220293075909
Random Forest,0.9861111111111112,0.9864940128098022,0.9861111111111112,0.9861024251268153
