Frequency_Hz,Amplitude
0.0,0.030233366936311838
5.0,0.02772866450177789
10.0,0.037022645756214535
15.0,0.065630074142838
20.0,0.022245058044554823
25.0,0.057011445637992195
30.0,0.08986162341698414
35.0,0.018549043176581136
40.0,0.13590250859475403
45.0,0.2836053634164145
50.0,0.6675000000000001
55.0,0.2566159424450731
60.0,0.11121082773662005
65.0,0.013713466850318398
70.0,0.059927002187107926
75.0,0.034220609802611886
80.0,0.011983883001804784
85.0,0.03161743991456202
90.0,0.015877048639936733
95.0,0.01052537650741108
100.0,0.020171776483003383
105.0,0.008057374547906776
110.0,0.00926458856188846
115.0,0.013936077929906629
120.0,0.003930016223954282
125.0,0.008154312981998707
130.0,0.009997467747487292
135.0,0.0015060320109536924
140.0,0.007163115158556332
145.0,0.007283041684770594
150.0,7.091031246544233e-17
155.0,0.006269494836848691
160.0,0.005305123001932739
165.0,0.0009585232429767686
170.0,0.005458425246373267
175.0,0.0038099357077268437
180.0,0.0015663842454242973
185.0,0.004719208099831282
190.0,0.002652135379216451
195.0,0.0019377429057388026
200.0,0.004044093177141994
205.0,0.001742199957048023
210.0,0.0021434872589753844
215.0,0.0034273609790388647
220.0,0.0010216810849165312
225.0,0.002230168195660502
230.0,0.002864696252945199
235.0,0.0004505052175017523
240.0,0.0022298361303692634
245.0,0.0023527503056691187
250.0,7.258338911504755e-17
255.0,0.002165475988964151
260.0,0.0018888295700375136
265.0,0.000351148827726539
270.0,0.002054162941914877
275.0,0.0014706709895940672
280.0,0.0006193468317454189
285.0,0.0019089707340330833
290.0,0.0010962786866556824
295.0,0.0008176288606777096
300.0,0.0017401653192423276
305.0,0.0007638049703276086
310.0,0.0009566531903073147
315.0,0.0015559730390267612
320.0,0.0004714641760052999
325.0,0.0010453592350898743
330.0,0.0013630872873510043
335.0,0.00021747133742099607
340.0,0.0010914106079979013
345.0,0.0011670101006341026
350.0,2.6281453727973508e-17
355.0,0.0011014975879078382
360.0,0.0009722872674839449
365.0,0.00018284497361894446
370.0,0.0010815454597167943
375.0,0.000782673581994313
380.0,0.0003330427094425514
385.0,0.0010368587106154863
390.0,0.0006012517051891717
395.0,0.0004526621242512202
400.0,0.0009722209309915561
405.0,0.00043051999292812945
410.0,0.0005438601082454137
415.0,0.0008919638693360264
420.0,0.00027245952506147153
425.0,0.0006088736186308891
430.0,0.0008000149502740486
435.0,0.00012858725445580364
440.0,0.000650006960231443
445.0,0.0006999298237046449
450.0,2.3665097108173342e-17
455.0,0.0006696153425048784
460.0,0.0005949146576030241
465.0,0.00011258747511823295
470.0,0.0006700856615004759
475.0,0.0004878416035530366
480.0,0.0002088080802631054
485.0,0.0006538153453499969
490.0,0.0003812599567956554
495.0,0.00028861020652831313
500.0,0.000623190012462213
505.0,0.00027740487708343634
510.0,0.0003522267365890546
515.0,0.0005805606154582974
520.0,0.0001782050525370903
525.0,0.0004001446331464041
530.0,0.0005282206760773836
535.0,8.529032329176636e-05
540.0,0.00043307475392817855
545.0,0.00046838415335819227
550.0,2.6759362062476218e-17
555.0,0.00045192173971547457
560.0,0.00040316442710783246
565.0,7.660760926776702e-05
570.0,0.00045775396776694783
575.0,0.00033455481954392614
580.0,0.00014374412744172879
585.0,0.000451773669281821
590.0,0.0002644110192184088
595.0,0.00020087829975232434
600.0,0.00043528738526575644
605.0,0.0001944357125096631
610.0,0.0002477213733831482
615.0,0.00040967698677014106
620.0,0.00012616566907125708
625.0,0.0002842106880754744
630.0,0.0003763715176912538
635.0,6.0961468848548054e-05
640.0,0.00031049158023335765
645.0,0.00033682013464237217
650.0,1.3562082186620847e-17
655.0,0.0003268977683636439
660.0,0.0002924664215896915
665.0,5.573020019331605e-05
670.0,0.0003339304401300369
675.0,0.0002447243491534396
680.0,0.00010543074500743842
685.0,0.0003322363022131226
