Frequency_Hz,Amplitude
0.0,0.015912298387532546
5.0,0.014594033948304141
10.0,0.019485603029586625
15.0,0.034542144285704214
20.0,0.011707925286607792
25.0,0.030006024019995907
30.0,0.047295591272096885
35.0,0.00976265430346376
40.0,0.0715276361025021
45.0,0.14926598074548142
50.0,0.825
55.0,0.13506102233951206
60.0,0.05853201459822112
65.0,0.007217614131746522
70.0,0.031540527466898935
75.0,0.018010847264532552
80.0,0.006307306843055117
85.0,0.016640757849769518
90.0,0.008356341389440362
95.0,0.00553967184600583
100.0,0.01061672446473862
105.0,0.004240723446266748
110.0,0.004876099243099198
115.0,0.0073347778578455565
120.0,0.002068429591554914
125.0,0.0042917436747361756
130.0,0.005261825130256479
135.0,0.0007926484268177382
140.0,0.003770060609766464
145.0,0.003833179834089773
150.0,6.383451584319827e-17
155.0,0.0032997341246571764
160.0,0.0027921700010171756
165.0,0.000504485917356251
170.0,0.0028728553928279816
175.0,0.0020052293198562126
180.0,0.0008244127607496309
185.0,0.0024837937367533135
190.0,0.0013958607259033783
195.0,0.0010198646872309858
200.0,0.0021284700932326364
205.0,0.00091694734581472
210.0,0.0011281511889344189
215.0,0.0018038741994941443
220.0,0.0005377268867981881
225.0,0.0011737727345581823
230.0,0.001507734869971163
235.0,0.00023710800921142422
240.0,0.001173597963352213
245.0,0.0012382896345626694
250.0,8.520459454432675e-17
255.0,0.0011397242047179376
260.0,0.0009941208263354816
265.0,0.00018481517248770398
270.0,0.0010811383904814488
275.0,0.0007740373629442138
280.0,0.00032597201670812414
285.0,0.0010047214389647687
290.0,0.0005769887824503518
295.0,0.00043033097930407694
300.0,0.0009158764838117596
305.0,0.0004020026159618813
310.0,0.0005035016791091109
315.0,0.0008189331784351466
320.0,0.00024813904000280443
325.0,0.0005501890710999767
330.0,0.0007174143617636855
335.0,0.00011445859864261394
340.0,0.0005744266357883708
345.0,0.0006142158424389941
350.0,3.590214389995822e-17
355.0,0.0005797355725830886
360.0,0.0005117301407810517
365.0,9.623419664155719e-05
370.0,0.0005692344524825417
375.0,0.0004119334642075571
380.0,0.0001752856365486834
385.0,0.0005457151108502404
390.0,0.00031644826588904347
395.0,0.0002382432232901055
400.0,0.0005116952268376719
405.0,0.00022658946996217722
410.0,0.0002862421622344328
415.0,0.00046945466807159697
420.0,0.00014339975003235393
425.0,0.00032045979927942914
430.0,0.00042106050014424173
435.0,6.767750234516531e-05
440.0,0.0003421089264376142
445.0,0.00036838411773927506
450.0,8.089269520125401e-17
455.0,0.00035242912763417485
460.0,0.0003131129776858221
465.0,5.925656585169474e-05
470.0,0.00035267666394766617
475.0,0.0002567587387121252
480.0,0.00010989898961214504
485.0,0.00034411333965788407
490.0,0.00020066313515560273
495.0,0.00015190010869908929
500.0,0.0003279947434011569
505.0,0.0001460025668860419
510.0,0.00018538249294160512
515.0,0.0003055582186622625
520.0,9.379213291425111e-05
525.0,0.00021060243849810035
530.0,0.0002780108821460112
535.0,4.488964383777969e-05
540.0,0.00022793408101485217
545.0,0.000246517975451655
550.0,2.288316164435161e-17
555.0,0.0002378535472186812
560.0,0.0002121918037409572
565.0,4.031979435144605e-05
570.0,0.00024092314092999373
575.0,0.00017608148397047022
580.0,7.565480391670236e-05
585.0,0.00023777561541147427
590.0,0.00013916369432545673
595.0,0.00010572542092227538
600.0,0.00022909862382408463
605.0,0.000102334585531414
610.0,0.0001303796702016743
615.0,0.00021561946672113752
620.0,6.640298372169653e-05
625.0,0.00014958457267130466
630.0,0.00019809027246908738
635.0,3.2084983604491665e-05
640.0,0.00016341662117545357
645.0,0.0001772737550749314
650.0,2.1098570499853844e-17
655.0,0.00017205145703349227
660.0,0.00015392969557349233
665.0,2.9331684312284654e-05
670.0,0.000175752863226332
675.0,0.00012880228902812684
680.0,5.548986579340024e-05
685.0,0.00017486121169108735
690.0,0.00010260849028710247
695.0,7.81538818655502e-05
700.0,0.0001697815181951679
705.0,7.602747874801757e-05
710.0,9.710063323220126e-05
715.0,0.00016097126915686256
720.0,4.969134624997771e-05
725.0,0.00011220123763701217
730.0,0.0001489281909412436
735.0,2.4177093522365785e-05
740.0,0.00012341640849373512
745.0,0.0001341781339371372
750.0,8.418930427240202e-17
755.0,0.00013079067199123266
760.0,0.00011726324141267317
765.0,2.23915901397559e-05
770.0,0.00013444555371000983
775.0,9.873056716170952e-05
780.0,4.262004557797467e-05
785.0,0.00013457188037309506
790.0,7.912129654964055e-05
795.0,6.0380791911595735e-05
800.0,0.00013142135383157767
805.0,5.8960713203303806e-05
810.0,7.544324766624549e-05
815.0,0.000125297562720982
820.0,3.87490385950458e-05
825.0,8.765039971733656e-05
830.0,0.00011654660232407793
835.0,1.8953254582765628e-05
840.0,9.691708634497085e-05
845.0,0.00010554747506579537
850.0,9.754126639092462e-17
855.0,0.00010322707539399371
860.0,9.27024427600352e-05
865.0,1.773038792982491e-05
870.0,0.00010662904230783177
875.0,7.842749740725853e-05
880.0,3.390863780001697e-05
885.0,0.00010723156796287601
890.0,6.314311007364839e-05
895.0,4.82600859924226e-05
900.0,0.00010519728890068169
905.0,4.72654074588412e-05
910.0,6.056699029002918e-05
915.0,0.00010073634262043187
920.0,3.119791337382375e-05
925.0,7.066963036386859e-05
930.0,9.40992578843828e-05
935.0,1.5323977819987858e-05
940.0,7.846623094569377e-05
945.0,8.55694444353332e-05
950.0,1.1293700398646206e-16
955.0,8.391176293187378e-05
960.0,7.54554381106048e-05
965.0,1.4450466266850324e-05
970.0,8.701569560787003e-05
975.0,6.408305606626795e-05
980.0,2.7741655197120853e-05
985.0,8.783878933347638e-05
990.0,5.1787612840961034e-05
995.0,3.962952996326157e-05
1000.0,8.648903212862462e-05
1005.0,3.890634135450095e-05
1010.0,4.99146921185215e-05
1015.0,8.311683542921338e-05
1020.0,2.5771153892783297e-05
1025.0,5.844424980462871e-05
1030.0,7.790961366824398e-05
1035.0,1.2701866874975343e-05
1040.0,6.511265464523301e-05
1045.0,7.108587917064013e-05
1050.0,1.113771521654156e-16
1055.0,6.986153609943489e-05
1060.0,6.288898806270731e-05
1065.0,1.2056754494262817e-05
1070.0,7.267857983020034e-05
1075.0,5.358067444696349e-05
1080.0,2.3219312890536115e-05
1085.0,7.359551301964633e-05
1090.0,4.343450907515679e-05
1095.0,3.327116901494418e-05
1100.0,7.268527427113861e-05
1105.0,3.2729415171927115e-05
1110.0,4.203150667700072e-05
1115.0,7.00584585389887e-05
1120.0,2.174336811633761e-05
1125.0,4.935742912842079e-05
1130.0,6.585913821848392e-05
1135.0,1.0747397512652681e-05
1140.0,5.514529721330928e-05
1145.0,6.026016997790762e-05
1150.0,9.520260884265178e-17
1155.0,5.933118556467244e-05
1160.0,5.345810300285598e-05
1165.0,1.0257940795021687e-05
1170.0,6.189048316145287e-05
1175.0,4.5667808001802505e-05
1180.0,1.980764419098722e-05
1185.0,6.28366804913334e-05
1190.0,3.711694758259122e-05
1195.0,2.845626392547041e-05
1200.0,6.221940018207573e-05
1205.0,2.804040748900905e-05
1210.0,3.6040008331277956e-05
1215.0,6.012174103427212e-05
1220.0,1.8674804769891685e-05
1225.0,4.2426512442528735e-05
1230.0,5.665701668191194e-05
1235.0,9.253183364785874e-06
1240.0,4.751644155159736e-05
1245.0,5.196497946266705e-05
1250.0,1.3428278405637146e-16
1255.0,5.124432194254825e-05
1260.0,4.6207627366043515e-05
1265.0,8.87350611267076e-06
1270.0,5.3578610321964226e-05
1275.0,3.956469704123929e-05
1280.0,1.717347724743983e-05
1285.0,5.452102856232465e-05
